Restaurant,Rating,Cuisine,Delivery_Time,Location,Distance_km,Restaurant_ID,Delivery_Category
Grameen Kulfi,4.8,"Ice Cream,Desserts",29,Bhoiguda,1.5,359812,Medium Delivery
Wow! Chicken By Wow! Momo,3.8,"Burger,Biryani,American,fastfood",34,Nallakunta & Vidyanagar,1.7,608720,Medium Delivery
Cream Stone Ice Cream,4.5,"Ice Cream,Desserts,Beverages,Ice Cream Cakes",44,Basheer Bagh-Opp bajrang Pan shop,5.0,1970,Slow Delivery
Agra Sweets Banjara,4.5,"Sweets,Desserts,Chaat,Snacks,Beverages",30,East Nehru Nagar,3.8,9020,Medium Delivery
Almond House,4.7,"Sweets,Desserts,Snacks,Beverages",35,Secunderabad,3.6,209311,Medium Delivery
KFC,4.3,"Burgers,Fast Food,Rolls & Wraps",26,Nallakunta & Vidyanagar,1.9,729663,Medium Delivery
McDonald's,4.4,"Burgers,Beverages,Cafe,Desserts",36,Himayath Nagar,3.6,23707,Slow Delivery
Subway,4.4,"sandwich,Salads,wrap,Healthy Food",29,SD Road Rezimental Bazar,3.0,8786,Medium Delivery
Theobroma,4.6,Desserts,29,Shivaji Nagar,3.0,368036,Medium Delivery
Krispy Kreme - Doughnuts & Coffee,4.3,"Desserts,Cafe,Bakery,Coffee,Beverages,Snacks",26,SD Road,3.0,456702,Medium Delivery
Concu,4.6,"Cafe,Desserts,Beverages",33,Maredpally,3.0,482701,Medium Delivery
Barbeque Nation,3.9,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",53,ABIDS,4.8,603116,Slow Delivery
Raju Gari Biryani,3.9,Biryani,25,Nallakunta & Vidyanagar,1.7,1022488,Fast Delivery
4M Biryani House,4.4,"Biryani,Tandoor,Chinese",27,Musheerabad,0.4,131870,Medium Delivery
Varalakshmi Tiffins,4.6,South Indian,32,Paradise circle,4.3,575804,Medium Delivery
Pizza Hut,4.4,Pizzas,37,Attapur,2.3,11091,Slow Delivery
NIC Ice Creams,4.6,"Ice Cream,Desserts",34,Toli Chowki,3.9,168402,Medium Delivery
Wow! Momo,4.3,"Momos,Chinese,fastfood,Asian,Beverages",52,Banjara Hills,7.4,312149,Slow Delivery
